xaxis,yaxis
5.709248903,10.3465061
7.610463523,11.46958747
0.079281482,11.84075687
0.389236557,30.58126375
5.013278795,29.72170379
4.759663601,29.69343348
3.596715676,28.10266175
1.420824341,4.202060939
2.169565577,5.001002214
2.537440451,4.632411885
3.204367684,4.668312508
3.306896011,0.156752837
4.863578972,0.138178275
5.919373462,0.202899199
9.725269268,0.218425012
1.509336906,9.136624366
8.262637231,10.0370768
5.898087304,10.54269589
4.394647887,6.204914344
7.655818688,2.292817072
7.094199283,2.197738533
4.140392077,2.273826502
2.766670984,2.270423588
5.419453602,1.95047731
4.121741464,1.527746917
3.844506267,1.617377881
0.216060292,1.405096204
3.334527924,0.602955794
3.269192409,0.644280244
2.971484839,0.64824563
4.874755467,0.72992084
9.58060026,1.056111113
0.66471124,1.06118278
8.166826782,1.123489371
0.0549553,1.082269608
3.876850205,4.598897641
2.319359911,3.925637608
1.761519502,4.319017771
3.814069866,4.537558514
9.059033751,22.38547222
3.78140436,20.87712517
5.075094677,21.6351358
2.050246678,20.8978117
7.99150965,3.629405756
0.780833608,3.443266443
0.656285478,3.963228139
8.275185647,3.786801437
4.484252856,1.687375568
9.512640294,1.654806038
2.532041847,1.742832779
9.884212957,1.737915547
2.217753711,1.337336013
9.990085965,1.276290637
8.497172468,1.385659642
7.465149866,1.398821793
7.088520314,0.099740761
7.796569282,0.092499326
8.846871487,0.098983365
9.903293569,0.112992805
2.076071607,2.78570442
1.719908559,2.964158333
5.536412666,2.927604905
0.104926602,2.927763926
5.739078703,4.126988108
9.806956449,3.857149599
1.704560615,3.752090816
9.315032838,3.876107611
2.577207075,1.895961395
9.68329318,1.962424266
4.2549321,1.958419165
2.510845482,1.954207191
1.578554357,4.574681817
2.358441555,4.224605133
2.291530932,4.171161094
4.379089985,4.519210141
0.932858879,0.075281844
0.538339623,0.078108539
9.936026885,0.081476607
5.608778966,0.079956379
4.824900747,6.252313871
6.420199842,5.796405618
3.078736008,6.316495701
2.887476701,6.034321639
8.273081841,0.176918537
8.040179867,0.202232171
3.134753213,0.173734652
1.512582376,0.200285212
6.893698398,4.457679397
6.440548705,2.953556075
3.112909015,4.167664361
7.237125205,4.145547583
6.431274055,3.81388549
9.786684016,4.140116094
7.04997866,4.243335224
7.322023573,6.915146531
4.31387241,0.101742097
1.566152112,0.108702094
0.660572316,0.118205418
7.653107445,0.131189805
1.469213954,0.567036613
4.904393238,0.608387039
9.073224197,0.595272317
3.051258023,0.627225464
3.580134402,3.029991456
4.348364702,2.963163435
2.73556569,3.132082534
0.31045614,3.127070817
6.191834143,0.082545714
0.655900468,0.073703111
8.594128723,0.082179517
1.000158406,0.079231485
5.571296372,7.656532739
1.353264645,7.373235988
5.887660296,7.986951475
0.649370299,7.898823573
9.639998853,1.691632521
2.692772716,1.478823448
3.664480847,1.449319237
5.858978174,1.239160489
7.319805218,13.53130952
3.40154115,11.57082986
6.242626601,15.680092
6.579154952,15.17329528
9.299331387,0.060771767
9.561304053,0.073470122
3.376154211,0.083054495
9.832016922,0.083958178
9.677716384,0.613327639
1.381677953,0.462535787
3.591216973,0.534553664
8.916568325,0.53749756
0.172239431,0.790487627
2.819167222,0.803730282
0.803019153,0.805909906
0.841583319,0.843541955
6.470847641,10.52945151
0.471275659,10.24561928
0.239161348,10.94931628
5.910824051,10.06448974
2.281786224,10.55446109
6.457737604,10.81860557
3.318719669,11.61619323
3.888591325,9.192879069
2.966478267,0.11450154
0.540416361,0.136102525
6.864722375,0.161137874
2.41706159,0.159474455
8.837618303,8.044536128
8.037394021,7.511955097
7.279083097,7.297420185
2.951315181,7.124050867
4.37427951,14.4797972
